Name,alpha_code,fip,test_fraction,hosp_fraction,t0_date,R0,p1_to_p2_date,eps2,p2_to_p3_date,eps3,p3_to_p4_date,eps4,beta_1,beta_2,beta_3,beta_4,case_and_hosp_score,death_score,time
New York,NY,36,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
North Carolina,NC,37,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
North Dakota,ND,38,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Ohio,OH,39,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Oklahoma,OK,40,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Oregon,OR,41,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Pennsylvania,PA,42,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Puerto Rico,PR,72,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Rhode Island,RI,44,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
South Carolina,SC,45,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
South Dakota,SD,46,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Tennessee,TN,47,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Texas,TX,48,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Utah,UT,49,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Vermont,VT,50,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Virginia,VA,51,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Washington,WA,53,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
West Virginia,WV,54,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Wisconsin,WI,55,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Wyoming,WY,56,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
